Date (dd-mmm-yyyy), Mean Mesor, Uncertainty of Mesor, Mean Amp., Uncertainty of Amp., Mean Phase, Uncertainty of Phase (hr), Mean HRpS, Uncertainty of HRpS, Mean Autocorr., Uncertainty of Autocorr., Number of Data Points, 2 Day Step Count, Existence of Time Zone Information 
11-Sep-2020, 70.285484, 1.154031, 3.167667, 1.453596, 04:40, 2.412889, 0.239993, 0.027954, 0.724272, 0.034970, 407, 13143, 1.000000
12-Sep-2020, 75.067214, 2.252951, 9.378660, 3.318651, 03:32, 1.273246, 0.279656, 0.034546, 0.807652, 0.030285, 392, 20904, 1.000000
13-Sep-2020, 78.963784, 1.571142, 15.856097, 2.444871, 02:56, 0.380525, 0.243179, 0.039413, 0.692154, 0.037466, 382, 25376, 1.000000
14-Sep-2020, 74.438705, 2.731489, 11.228883, 4.029133, 02:34, 1.321548, 0.250038, 0.039607, 0.844825, 0.027947, 398, 17432, 1.000000
15-Sep-2020, 68.634483, 1.133957, 5.871826, 1.676477, 03:29, 0.962154, 0.379917, 0.037570, 0.701044, 0.036445, 410, 13095, 1.000000
16-Sep-2020, 69.495581, 0.843911, 5.198819, 1.258033, 03:10, 0.728679, 0.350056, 0.031579, 0.596551, 0.039941, 406, 15393, 1.000000
17-Sep-2020, 71.990658, 0.932040, 3.017216, 1.207469, 04:34, 1.874394, 0.310813, 0.036018, 0.628650, 0.038479, 410, 13110, 1.000000
18-Sep-2020, 72.976439, 0.911356, 3.405547, 1.297033, 03:33, 1.575030, 0.258282, 0.036885, 0.659097, 0.041000, 354, 12915, 1.000000
19-Sep-2020, 76.558517, 1.500075, 9.915104, 2.275550, 02:02, 0.702561, 0.224137, 0.033951, 0.709752, 0.040034, 332, 23196, 1.000000
20-Sep-2020, 77.140709, 1.693017, 9.247382, 2.399661, 01:25, 0.800665, 0.255003, 0.041682, 0.644167, 0.041413, 358, 25893, 1.000000
21-Sep-2020, 70.470930, 1.526208, 5.406535, 2.149134, 02:59, 1.499691, 0.321364, 0.043354, 0.691967, 0.038864, 364, 15923, 1.000000
22-Sep-2020, 71.914874, 1.715660, 7.463887, 2.324139, 04:20, 1.285219, 0.250399, 0.031175, 0.803244, 0.030720, 397, 14401, 1.000000
